epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8069,2.58132,4.59103,1.78922,0.00333,0.67391,0.03324,0.01596,1.96316,4.0486,1.34762,0.00032,0.00032,0.00032
2,180.525,2.26972,3.25363,1.48956,0.00376,0.76087,0.01632,0.00378,1.95311,3.91916,1.33296,0.00061644,0.00061644,0.00061644
3,265.516,2.12103,2.62895,1.46565,0.00376,0.76087,0.00623,0.00257,2.05453,3.90234,1.37517,0.000868,0.000868,0.000868
4,353.321,2.09199,2.53032,1.39957,0.00409,0.82609,0.17547,0.0569,2.18905,3.64195,1.45001,0.00107468,0.00107468,0.00107468
5,438.264,2.16256,2.39892,1.45083,0.90321,0.20333,0.37182,0.13917,2.08173,3.15617,1.51144,0.00123648,0.00123648,0.00123648
6,521.816,2.1827,3.05045,1.58563,0.00344,0.69565,0.24418,0.10947,2.0761,3.71096,1.53608,0.00134,0.00134,0.00134
7,604.105,2.1538,2.94686,1.62333,0.69675,0.28261,0.38433,0.17988,2.05917,3.03993,1.61972,0.001208,0.001208,0.001208
8,692.883,2.01693,2.67892,1.56005,0.52986,0.36957,0.44595,0.1677,2.18467,2.69551,1.65425,0.001076,0.001076,0.001076
9,776.763,1.95492,2.58416,1.51549,0.68726,0.43008,0.47211,0.18055,2.099,2.4262,1.56688,0.000944,0.000944,0.000944
10,862.481,2.0015,2.45557,1.48634,0.66413,0.55892,0.55057,0.22415,2.04434,2.22886,1.55275,0.000812,0.000812,0.000812
11,946.527,1.87116,2.28173,1.47488,0.7089,0.54348,0.57588,0.23708,1.98678,2.27199,1.49268,0.00068,0.00068,0.00068
12,1033,1.85505,2.23193,1.4502,0.51195,0.57017,0.48376,0.21484,1.8984,2.14754,1.4618,0.000548,0.000548,0.000548
13,1130.23,1.87186,2.23993,1.4054,0.59168,0.56522,0.50261,0.2173,1.93513,2.1363,1.50905,0.000416,0.000416,0.000416
14,1227.15,1.83715,2.11038,1.42278,0.60403,0.54348,0.54837,0.24498,1.97047,2.1422,1.52524,0.000284,0.000284,0.000284
15,1310.35,1.75293,2.01944,1.366,0.62829,0.55129,0.55326,0.24515,2.00436,2.14479,1.52754,0.000152,0.000152,0.000152
